,session,metric,kw_p,posthoc_pairs,posthoc_p_raw,posthoc_p_corrected,error
0,T0,time,0.6475964826101981,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.30743416592739536, 0.37722461666745344, 0.6533789106936937, 0.48766835345893045, 0.47267559351158717, 0.9025232501776794]",[1. 1. 1. 1. 1. 1.],
1,T0,correctness,0.9729996547114717,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.8072501679320072, 1.0, 0.9193330052953381, 0.8072501679320072, 0.68089429484237, 0.9193330052953381]",[1. 1. 1. 1. 1. 1.],
2,T1,time,0.05852504249981457,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.4807075277663513, 0.8784770784770783, 0.014763014763014764, 0.31172769962827906, 0.046400658165364046, 0.06495726495726495]",[1.         1.         0.08857809 1.         0.27840395 0.38974359],
3,T1,correctness,0.027629863543129563,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.9539596927720386, 0.35870524478134846, 0.01620954140922544, 0.28761132005648793, 0.010118581997593598, 0.13036982841080633]",[1.         1.         0.09725725 1.         0.06071149 0.78221897],
4,T2,time,0.4040507161295347,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.7750513736700824, 0.859819205054158, 0.09416637543787974, 1.0, 0.24132159301718004, 0.30743416592739536]",[1.         1.         0.56499825 1.         1.         1.        ],
5,T2,correctness,0.25876714786297916,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.8504362683123465, 0.6761931257289725, 0.10880943004054568, 0.5045014597713458, 0.06362193848082277, 0.24821307898992373]",[1.         1.         0.65285658 1.         0.38173163 1.        ],
6,T3,time,0.023192044459812853,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.6588432549492806, 0.42677673653298365, 0.019964453305216043, 0.5962416305866567, 0.01601099081051716, 0.019964453305216043]",[1.         1.         0.11978672 1.         0.09606594 0.11978672],
7,T3,correctness,0.43633596891994075,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.683846186890438, 0.6761931257289725, 0.28761132005648793, 0.38389899751303225, 0.13036982841080633, 0.5565492531131423]",[1.         1.         1.         1.         0.78221897 1.        ],
8,T4,time,0.045990151875029174,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[0.7910815129207817, 0.42677673653298365, 0.024744672046398936, 0.47992869214595724, 0.20566717961735548, 0.007963489206549997]",[1.         1.         0.14846803 1.         1.         0.04778094],
9,T4,correctness,0.19518081056579703,"[(1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]","[1.0, 0.683846186890438, 0.10880943004054568, 0.683846186890438, 0.10880943004054568, 0.042818229951210596]",[1.         1.         0.65285658 1.         0.65285658 0.25690938],
